,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_dueindate,month_of_dueindate,year_of_dueindate,day_of_baselinecreatedate,month_of_baselinecreatedate,year_of_baselinecreatedate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
11,U001,200794332,COST co,2020-03-27 06:00:42.802558718,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,64,,,,13,3,2020,28,3,2020,13,3,2020,22,620,
12,U001,200020431,DEC us,2020-05-19 23:06:15.804878049,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,64,,,,6,5,2020,24,5,2020,1,5,2020,36,717,
13,U001,200769623,WAL-MAR associates,2020-03-25 02:52:35.378978312,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,64,,,,12,3,2020,27,3,2020,12,3,2020,32,2982,
14,CA02,140105785,SHOPPE foundation,2020-04-15 20:23:34.734065934,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1978.7412587412587,64,,,,27,3,2020,10,4,2020,31,3,2020,5,2499,0-15
15,U001,200769623,WAL-MAR ,2020-03-11 22:43:00.026966293,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,64,,,,28,2,2020,14,3,2020,28,2,2020,32,2981,
16,U001,200769623,WAL-MAR foundation,2020-04-22 21:12:47.623870792,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,64,,,,10,4,2020,25,4,2020,10,4,2020,32,2986,
17,U001,200772670,ASSOCIAT corporation,2020-04-25 06:12:15.272727273,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,64,,,,9,4,2020,24,4,2020,9,4,2020,46,191,0-15
18,U001,200900909,SYSCO systems,2020-04-19 17:25:32.413666818,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,64,,,,13,3,2020,14,4,2020,13,3,2020,13,2765,0-15
19,U001,200769623,WAL-MAR systems,2020-04-11 14:59:40.625129251,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,64,,,,30,3,2020,14,4,2020,30,3,2020,32,2989,
20,U001,200726979,BJ'S  trust,2020-05-02 13:51:42.190613009,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,64,,,,16,4,2020,1,5,2020,16,4,2020,20,331,0-15
21,U001,200769623,WAL-MAR llc,2020-04-10 09:26:41.510911367,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,64,,,,29,3,2020,13,4,2020,29,3,2020,32,2988,
22,U001,200769623,WAL-MAR llc,2020-04-18 11:12:54.730484767,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,64,,,,6,4,2020,21,4,2020,6,4,2020,32,2988,
23,CA02,140105847,GORDON F co,2020-04-22 20:47:15.885030758,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2577.062937062937,64,,,,8,4,2020,18,4,2020,8,4,2020,5,1113,0-15
24,U001,200744019,TARG foundation,2020-04-07 22:10:49.317556411,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,64,,,,15,3,2020,30,3,2020,15,3,2020,20,2790,0-15
25,U001,200769623,WAL-MAR systems,2020-03-22 16:45:02.553468013,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,64,,,,10,3,2020,25,3,2020,10,3,2020,32,2989,
26,U001,200769623,WAL-MAR llc,2020-03-18 11:12:54.730484767,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,64,,,,6,3,2020,21,3,2020,6,3,2020,32,2988,
27,U001,200418007,AM in,2020-04-18 02:58:48.000000000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,64,,,,6,4,2020,21,4,2020,6,4,2020,20,99,
28,U001,200739006,AL foundation,2020-04-30 18:08:30.067105328,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,64,,,,15,4,2020,30,4,2020,15,4,2020,20,55,0-15
29,U001,100031704,DELHAIZE associates,2020-05-02 08:17:24.510144622,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,64,,,,15,4,2020,30,4,2020,15,4,2020,20,733,0-15
30,U001,200769623,WAL-MAR trust,2020-04-09 16:23:27.166123778,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,64,,,,28,3,2020,12,4,2020,28,3,2020,32,2990,
31,U001,200744019,TARG systems,2020-05-16 16:38:45.297779135,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,64,,,,10,3,2020,14,5,2020,10,3,2020,31,2793,0-15
32,U001,200769623,WAL-MAR ,2020-04-02 22:43:00.026966293,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,64,,,,21,3,2020,5,4,2020,21,3,2020,32,2981,
33,U001,200726979,BJ'S  corporation,2020-03-19 09:10:26.914146780,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,64,,,,2,3,2020,17,3,2020,2,3,2020,20,326,0-15
34,U001,200706844,WINC associates,2020-04-23 05:04:19.199999999,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,64,,,,7,4,2020,22,4,2020,7,4,2020,20,3046,0-15
35,U001,200793830,M llc,2020-04-23 22:34:39.089381207,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,64,,,,8,4,2020,23,4,2020,8,4,2020,20,1706,0-15
36,U001,200769623,WAL-MAR foundation,2020-04-18 21:15:01.610122778,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,64,,,,6,4,2020,21,4,2020,6,4,2020,32,2986,
37,U001,200769623,WAL-MAR systems,2020-04-15 16:45:02.553468013,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,64,,,,3,4,2020,18,4,2020,3,4,2020,32,2989,
38,U001,200769623,WAL-MAR trust,2020-05-18 18:06:35.108210555,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,64,,,,6,5,2020,21,5,2020,6,5,2020,32,2990,
39,U001,200769623,WAL-MAR systems,2020-03-12 14:57:26.638877266,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,64,,,,29,2,2020,15,3,2020,29,2,2020,32,2989,
40,U001,200769623,WAL-MAR llc,2020-05-03 09:27:32.802146005,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,64,,,,21,4,2020,6,5,2020,21,4,2020,32,2988,
41,CA02,140104423,METRO  llc,2020-03-12 16:42:04.984251803,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,93086.26573426573,64,,,,27,2,2020,11,3,2020,1,3,2020,5,1876,0-15
42,U001,200726979,BJ'S  systems,2020-05-05 14:12:30.043373745,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,64,,,,19,4,2020,4,5,2020,19,4,2020,20,330,0-15
43,U001,200743996,STATER  llc,2020-05-07 06:55:18.798521021,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,64,,,,16,3,2020,20,5,2020,16,3,2020,31,2624,
44,U001,200752302,KROGER trust,2020-04-17 12:11:22.689744099,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,64,,,,2,4,2020,17,4,2020,2,4,2020,20,1582,0-15
45,CA02,140105686,SYSC llc,2020-05-21 01:56:37.568155846,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,43187.11188811189,64,,,,6,5,2020,18,5,2020,8,5,2020,5,2712,0-15
46,U001,200711029,WEGMAN corp,2020-04-22 01:08:25.745454545,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,64,,,,3,4,2020,18,4,2020,3,4,2020,20,3010,0-15
47,CA02,2001,KRAFT  corporation,2020-05-03 23:10:28.089077411,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,17810.25874125874,64,,,,20,3,2020,27,4,2020,23,3,2020,30,1515,0-15
48,U001,200769623,WAL-MAR llc,2020-05-03 09:25:18.815894019,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,64,,,,21,4,2020,6,5,2020,21,4,2020,32,2988,
49,U001,200769623,WAL-MAR associates,2020-04-18 02:38:11.378978312,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,64,,,,5,4,2020,20,4,2020,5,4,2020,32,2982,
50,U001,200772670,ASSOCIAT corp,2020-04-09 02:02:47.172923076,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,64,,,,24,3,2020,8,4,2020,24,3,2020,46,190,0-15
51,U001,200769623,WAL-MAR co,2020-05-01 12:47:22.684464628,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,64,,,,19,4,2020,4,5,2020,19,4,2020,32,2983,
52,U001,200769623,WAL-MAR systems,2020-04-25 16:59:26.553468013,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,64,,,,13,4,2020,28,4,2020,13,4,2020,32,2989,
53,U001,200720238,WOODM co,2020-05-28 12:32:31.557694775,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,64,,,,6,5,2020,21,5,2020,6,5,2020,20,2909,0-15
54,CA02,140106408,WAL-M in,2020-05-19 01:30:11.368421053,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,28509.17482517483,64,,,,25,4,2020,5,5,2020,25,4,2020,5,2976,0-15
55,U001,200769623,WAL-MAR co,2020-04-13 14:15:34.441767999,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,64,,,,1,4,2020,16,4,2020,1,4,2020,32,2983,
56,U001,200769623,WAL-MAR us,2020-03-27 17:53:15.646121586,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,64,,,,15,3,2020,30,3,2020,15,3,2020,32,2991,
57,U001,200769623,WAL-MAR us,2020-04-13 19:26:27.560712333,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,64,,,,1,4,2020,16,4,2020,1,4,2020,32,2991,
58,U001,200799367,MCL corporation,2020-04-09 05:04:57.159050110,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,64,,,,24,3,2020,8,4,2020,24,3,2020,20,1817,0-15
59,U001,200759878,SA co,2020-04-28 05:33:44.166619759,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,64,,,,14,4,2020,29,4,2020,14,4,2020,32,2386,
60,U001,200794332,COST corp,2020-03-28 23:25:41.224769298,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,64,,,,14,3,2020,29,3,2020,14,3,2020,22,621,
61,U001,200515231,US  us,2020-04-28 19:03:45.006315789,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,64,,,,9,4,2020,24,4,2020,9,4,2020,20,2903,0-15
62,U001,200782669,SYGMA corp,2020-04-03 01:23:12.342179559,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,64,,,,13,3,2020,28,3,2020,13,3,2020,20,2697,0-15
63,U001,200769623,WAL-MAR foundation,2020-05-24 21:29:25.610122778,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,64,,,,12,5,2020,27,5,2020,12,5,2020,32,2986,
64,U001,200769623,WAL-MAR ,2020-04-05 22:43:00.026966293,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,64,,,,24,3,2020,8,4,2020,24,3,2020,32,2981,
65,U001,200331749,SYSC foundation,2020-03-19 10:45:53.486809639,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,64,,,,28,2,2020,14,3,2020,28,2,2020,20,2710,0-15
66,U001,200772670,ASSOCIAT associates,2020-05-10 06:06:55.296000000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,64,,,,23,4,2020,8,5,2020,23,4,2020,46,188,0-15
67,U001,200772670,ASSOCIAT us,2020-04-17 18:23:46.220095694,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,64,,,,2,4,2020,17,4,2020,2,4,2020,46,197,0-15
68,U001,200706844,WINC foundation,2020-03-20 09:44:05.710315490,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,64,,,,4,3,2020,19,3,2020,4,3,2020,20,3050,0-15
69,U001,100043975,JAVA ,2020-04-15 20:28:17.423376623,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,64,,,,3,4,2020,18,4,2020,3,4,2020,20,1384,
70,U001,200762301,C&S WH in,2020-03-20 03:26:54.486578019,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,64,,,,4,3,2020,19,3,2020,4,3,2020,25,447,0-15
71,U001,200148860,DOLLA associates,2020-06-02 23:40:54.876323676,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,64,,,,3,4,2020,7,6,2020,3,4,2020,31,795,
72,CA02,100027744,OMEGA AD in,2020-05-22 18:10:17.142857143,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,4919.580419580419,64,,,,19,5,2020,19,5,2020,19,5,2020,8,2909,0-15
73,U001,100031704,DELHAIZE co,2020-03-19 16:33:22.305323561,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,64,,,,1,3,2020,16,3,2020,1,3,2020,20,734,0-15
74,U001,200799420,HT HA foundation,2020-04-12 19:49:14.660383243,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,64,,,,25,3,2020,9,4,2020,25,3,2020,20,2909,0-15
75,U001,200974851,RESTA systems,2020-04-10 01:41:23.566780756,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,64,,,,26,3,2020,10,4,2020,26,3,2020,20,2320,0-15
76,U001,200769623,WAL-MAR in,2020-05-10 11:37:21.838237730,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,64,,,,28,4,2020,13,5,2020,28,4,2020,32,2987,
77,U001,200793568,SUPE llc,2020-03-29 05:50:06.095829637,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,64,,,,10,3,2020,25,3,2020,10,3,2020,20,2659,0-15
78,U001,200759878,SA foundation,2020-03-21 15:42:14.876033057,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,64,,,,6,3,2020,21,3,2020,6,3,2020,32,2389,0-15
79,U001,200712187,SPAR in,2020-05-03 22:37:26.078825522,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,64,,,,20,4,2020,5,5,2020,20,4,2020,20,2605,
80,U001,100047532,KEYSTON associates,2020-03-25 00:44:47.278195489,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,64,,,,4,3,2020,19,3,2020,4,3,2020,20,2909,0-15
81,U001,200794332,COST co,2020-03-23 16:05:50.371614958,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,64,,,,28,2,2020,19,3,2020,28,2,2020,17,620,0-15
82,U001,200148860,DOLLA associates,2020-05-25 20:34:12.922519341,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,64,,,,25,3,2020,29,5,2020,25,3,2020,31,795,
83,U001,200794332,COST llc,2020-05-22 01:30:51.990160132,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,64,,,,8,5,2020,23,5,2020,8,5,2020,22,625,
84,U001,200555117,BURR trust,2020-04-13 18:52:34.176831469,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,64,,,,27,3,2020,11,4,2020,27,3,2020,20,394,0-15
85,U001,200769623,WAL-MAR in,2020-05-21 13:22:43.766576492,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,64,,,,9,5,2020,24,5,2020,9,5,2020,32,2987,
86,U001,200772670,ASSOCIAT corp,2020-04-06 02:02:47.172923076,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,64,,,,21,3,2020,5,4,2020,21,3,2020,46,190,0-15
87,U001,200707822,PUBLI corporation,2020-05-20 06:26:01.718436527,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,64,,,,4,5,2020,19,5,2020,4,5,2020,20,2214,0-15
88,CA02,140104392,FLANAG us,2020-03-26 03:36:00.000000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2526.146853146853,64,,,,6,3,2020,20,3,2020,10,3,2020,5,2909,0-15
89,U001,200769623,WAL-MAR corp,2020-05-10 07:22:41.498598888,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,64,,,,28,4,2020,13,5,2020,28,4,2020,32,2984,
90,U001,200759878,SA systems,2020-04-15 16:24:16.144153908,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,64,,,,31,3,2020,15,4,2020,31,3,2020,32,2392,0-15
91,U001,200705742,DOT foundation,2020-03-09 04:21:00.000000000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,64,,,,28,2,2020,14,3,2020,28,2,2020,20,828,
92,U001,200793568,SUPE trust,2020-04-10 06:31:13.021691352,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,64,,,,23,3,2020,7,4,2020,23,3,2020,20,2661,0-15
93,U001,200726979,BJ'S  ,2020-03-27 13:49:01.926676653,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,64,,,,12,3,2020,27,3,2020,12,3,2020,20,322,0-15
94,U001,200704858,WAKE corp,2020-04-24 20:19:32.987854250,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,64,,,,9,4,2020,24,4,2020,9,4,2020,20,2953,0-15
95,U001,200780383,MEIJ in,2020-04-04 19:53:21.702992659,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,64,,,,18,3,2020,2,4,2020,18,3,2020,20,1853,0-15
